Este (m);Norte (m);Cota (m);CuT (%);Fe (%);Mo (%);As (%);Zn (%);CuS (%);RecCu (%);CuCo (%);Wi (kwh/ton);Alteración;Mineralización
2133.9;676.6;977.3;0.85;1.04;0.013;0.005;0.010;0.02;89.7;33.3;14.64;Potásico;Baja pirita
2135.1;914.5;1727.0;0.52;1.29;0.002;0.007;0.039;0.02;85.2;31.5;13.53;Potásico;Baja pirita
2135.2;691.8;1543.5;0.76;0.79;0.015;0.004;0.011;0.02;82.9;36.4;13.91;Potásico;Baja pirita
2136.8;863.0;1645.6;1.28;0.93;0.009;0.006;0.011;0.03;95.5;35.7;16.93;Potásico;Baja pirita
2137.7;665.3;1036.1;1.29;1.88;0.055;0.003;0.008;0.01;86.0;30.9;13.96;Potásico;Baja pirita
2139.7;752.8;1529.5;1.37;0.99;0.012;0.006;0.016;0.05;87.9;35.9;16.58;Potásico;Baja pirita
2143.3;774.9;1585.6;1.54;0.69;0.044;0.004;0.032;0.04;89.7;36.4;15.67;Potásico;Baja pirita
2143.4;607.8;1466.5;1.51;1.84;0.334;0.042;0.092;0.04;95.6;31.3;14.23;Potásico;Alta pirita
2144.9;642.2;1159.7;0.57;0.95;0.008;0.004;0.006;0.02;89.0;32.1;14.26;Cuarzo-sericita;Baja pirita
2149.6;303.5;1487.7;1.78;8.03;0.022;0.149;0.022;0.07;94.9;24.7;15.69;Cuarzo-sericita;Alta pirita
2149.7;525.5;1566.0;1.09;2.19;0.119;0.004;0.113;0.10;88.3;28.6;11.07;Cuarzo-sericita;Alta pirita
2150.0;474.2;1594.5;1.68;6.10;0.101;0.050;0.066;0.08;95.3;25.3;12.87;Cuarzo-sericita;Alta pirita
2150.7;622.0;1268.7;1.02;0.97;0.054;0.009;0.033;0.03;87.0;33.6;13.05;Potásico;Baja pirita
2151.9;253.4;1381.2;1.03;4.50;0.007;0.014;0.065;0.05;81.8;25.3;14.26;Cuarzo-sericita;Alta pirita
2153.4;430.3;1473.3;0.78;1.52;0.035;0.008;0.121;0.06;90.6;28.6;12.49;Cuarzo-sericita;Alta pirita
2155.5;606.0;1357.2;0.88;1.45;0.086;0.022;0.048;0.04;91.3;29.4;14.12;Potásico;Baja pirita
2157.0;648.7;1546.8;0.98;1.05;0.096;0.010;0.113;0.04;90.3;32.8;13.74;Cuarzo-sericita;Alta pirita
2160.7;587.8;1457.4;0.53;0.63;0.048;0.019;0.260;0.03;90.4;31.6;12.87;Potásico;Baja pirita
2162.6;689.3;1504.2;0.81;0.92;0.050;0.006;0.064;0.04;88.3;31.7;14.75;Cuarzo-sericita;Alta pirita
2163.9;576.0;1522.3;0.74;1.27;0.030;0.003;0.018;0.02;84.5;31.9;14.12;Cuarzo-sericita;Baja pirita
2166.6;565.5;1581.3;0.70;0.75;0.061;0.009;0.204;0.01;89.5;34.9;10.17;Cuarzo-sericita;Alta pirita
2172.1;907.0;1771.6;1.03;1.05;0.003;0.006;0.091;0.03;79.9;32.2;16.04;Potásico;Baja pirita
2172.3;896.5;1753.4;0.58;0.96;0.003;0.010;0.051;0.01;90.2;32.8;14.25;Potásico;Baja pirita
2172.6;886.2;1735.1;0.81;1.62;0.004;0.003;0.075;0.02;86.9;30.6;13.99;Potásico;Baja pirita
2172.9;875.9;1716.8;0.52;1.64;0.003;0.005;0.032;0.01;83.5;31.0;13.91;Potásico;Baja pirita
2174.5;869.4;1753.5;1.02;1.19;0.004;0.006;0.115;0.05;88.1;33.6;13.39;Potásico;Baja pirita
2174.5;940.6;1672.3;0.61;1.82;0.004;0.008;0.018;0.03;90.4;27.1;15.85;Cuarzo-sericita;Baja pirita
2182.7;631.3;1560.3;0.93;1.72;0.044;0.006;0.219;0.03;83.1;29.1;12.80;Cuarzo-sericita;Alta pirita
2189.1;566.4;1196.7;0.73;1.08;0.165;0.008;0.074;0.03;88.7;30.5;13.23;Cuarzo-sericita;Alta pirita
2189.3;889.8;1467.2;0.62;1.32;0.004;0.007;0.018;0.01;89.9;30.4;15.11;Potásico;Baja pirita
2191.4;855.4;1537.2;0.65;1.10;0.004;0.006;0.024;0.02;91.0;32.4;16.38;Potásico;Baja pirita
2193.1;819.7;1613.2;1.05;0.92;0.004;0.006;0.009;0.03;94.9;34.6;15.62;Potásico;Baja pirita
2193.7;801.7;1652.8;0.70;0.81;0.004;0.006;0.014;0.03;93.1;36.0;15.71;Potásico;Baja pirita
2197.2;345.2;1677.1;2.20;3.56;0.017;0.175;0.037;0.07;84.5;30.2;13.29;Cuarzo-sericita;Alta pirita
2197.9;686.5;1453.9;1.09;1.12;0.061;0.010;0.071;0.04;82.4;32.9;14.08;Potásico;Alta pirita
2202.3;517.1;1568.0;0.77;0.81;0.122;0.010;0.136;0.05;87.9;34.7;10.97;Cuarzo-sericita;Alta pirita
2202.8;577.9;1616.1;0.63;0.62;0.101;0.006;0.144;0.06;87.8;36.4;12.48;Cuarzo-sericita;Alta pirita
2204.2;353.8;1548.1;1.55;2.83;0.025;0.049;0.020;0.06;88.5;28.8;14.25;Potásico;Alta pirita
2204.9;484.2;3497.3;0.69;1.06;0.005;0.006;0.014;0.05;88.6;31.4;13.71;Cuarzo-sericita;Alta pirita
2206.1;374.0;1472.4;1.56;9.72;0.102;0.051;0.011;0.13;86.8;23.7;12.13;Cuarzo-sericita;Alta pirita
2207.7;655.6;1482.6;0.81;0.69;0.419;0.006;0.032;0.04;90.9;35.4;10.45;Potásico;Alta pirita
2209.1;917.1;1771.4;0.55;1.34;0.003;0.007;0.009;0.01;90.6;30.0;14.80;Potásico;Baja pirita
2209.1;927.4;1752.8;1.08;1.31;0.014;0.044;0.088;0.02;91.2;33.2;15.52;Potásico;Baja pirita
2211.7;277.4;1462.6;1.08;7.16;0.011;0.003;0.055;0.06;87.0;23.3;13.91;Cuarzo-sericita;Alta pirita
2215.0;411.4;1346.3;0.75;2.34;0.066;0.090;0.128;0.01;94.3;25.4;12.75;Cuarzo-sericita;Alta pirita
2215.4;701.5;1612.6;1.30;0.78;0.054;0.008;0.022;0.03;87.4;35.5;12.42;Potásico;Alta pirita
2225.2;352.3;1227.0;1.19;5.69;0.092;0.092;0.362;0.04;89.5;24.5;13.25;Potásico;Alta pirita
2234.7;699.3;1571.3;1.28;1.23;0.048;0.017;0.136;0.03;88.5;32.2;12.78;Potásico;Baja pirita
2237.1;372.2;1462.0;1.97;9.01;0.087;0.229;0.015;0.04;93.1;24.8;12.54;Cuarzo-sericita;Alta pirita
2245.1;912.6;1771.2;2.28;1.03;0.013;0.012;0.004;0.04;90.4;36.3;14.74;Potásico;Baja pirita
2247.3;294.5;1530.3;0.95;2.62;0.008;0.011;1.034;0.08;82.9;26.6;15.02;Cuarzo-sericita;Alta pirita
2247.8;729.1;1634.6;0.80;1.10;0.039;0.006;0.081;0.08;83.9;30.7;13.46;Cuarzo-sericita;Alta pirita
2248.6;529.2;1567.1;0.95;0.97;0.082;0.006;0.095;0.07;87.4;33.2;12.26;Cuarzo-sericita;Alta pirita
2251.2;619.5;1502.8;1.23;1.50;0.126;0.017;0.089;0.03;91.8;30.7;12.65;Cuarzo-sericita;Alta pirita
2253.0;816.8;1662.9;1.97;2.42;0.035;0.006;0.076;0.04;89.8;30.7;13.97;Cuarzo-sericita;Alta pirita
2254.5;402.4;1713.4;1.65;2.88;0.031;0.018;0.032;0.11;81.7;29.1;14.07;Potásico;Alta pirita
2255.6;871.3;1712.7;1.10;0.86;0.014;0.006;0.022;0.04;89.8;35.1;17.00;Potásico;Baja pirita
2257.1;370.4;1661.0;2.03;2.83;0.041;0.040;0.047;0.05;84.3;29.9;13.48;Cuarzo-sericita;Alta pirita
2257.1;480.5;1566.6;1.05;0.75;0.115;0.043;0.100;0.07;89.2;34.6;11.00;Potásico;Alta pirita
2259.9;343.4;1616.0;1.59;4.38;0.025;0.127;0.054;0.08;90.7;26.9;15.22;Potásico;Alta pirita
2271.0;445.3;1354.0;0.56;1.39;0.030;0.006;0.042;0.04;88.5;28.0;14.23;Cuarzo-sericita;Alta pirita
2274.5;438.7;1317.2;0.46;0.75;0.025;0.034;0.432;0.04;84.7;30.6;14.57;Cuarzo-sericita;Baja pirita
2278.1;373.7;1750.7;1.27;3.12;0.016;0.029;0.018;0.09;91.9;26.9;11.63;Cuarzo-sericita;Alta pirita
2278.2;377.7;1727.0;1.48;2.89;0.025;0.018;0.004;0.08;93.4;27.6;12.71;Cuarzo-sericita;Alta pirita
2278.3;381.6;1704.8;1.82;4.15;0.047;0.054;0.088;0.05;94.4;27.7;11.90;Cuarzo-sericita;Alta pirita
2278.4;385.1;1684.1;2.46;3.58;0.049;0.058;0.008;0.10;93.7;29.6;12.30;Cuarzo-sericita;Alta pirita
2278.5;388.7;1663.4;1.53;4.41;0.104;0.069;0.010;0.07;93.9;26.9;13.27;Potásico;Alta pirita
2287.4;682.4;1331.7;0.67;0.90;0.061;0.020;0.130;0.04;87.5;32.3;13.92;Cuarzo-sericita;Alta pirita
2290.2;906.4;1743.0;0.84;1.17;0.004;0.011;0.159;0.03;90.7;32.5;16.80;Potásico;Baja pirita
2290.4;745.6;1503.8;0.95;0.96;0.012;0.006;0.016;0.03;89.1;33.6;14.15;Cuarzo-sericita;Baja pirita
2293.7;677.1;1621.8;1.09;0.84;0.262;0.006;0.046;0.03;87.1;35.3;12.01;Potásico;Alta pirita
2294.4;324.0;1491.8;1.37;3.81;0.018;0.021;0.025;0.08;89.8;26.4;15.45;Potásico;Alta pirita
2294.7;288.6;1415.6;1.08;2.71;0.011;0.013;0.034;0.05;90.9;26.6;14.44;Potásico;Alta pirita
2294.9;386.5;1631.4;1.96;2.94;0.042;0.044;0.019;0.04;95.0;29.7;13.77;Potásico;Alta pirita
2295.7;937.4;1657.1;1.12;0.89;0.011;0.006;0.021;0.03;84.2;32.3;14.51;Potásico;Baja pirita
2298.0;747.8;1603.8;0.75;0.87;0.064;0.006;0.052;0.07;84.5;33.1;14.42;Potásico;Alta pirita
2299.7;861.7;1681.6;0.99;0.87;0.010;0.003;0.070;0.04;86.2;35.6;14.59;Potásico;Baja pirita
2300.3;397.2;1086.8;0.61;4.33;0.104;0.047;0.097;0.02;88.0;22.9;13.94;Cuarzo-sericita;Alta pirita
2301.5;975.6;1779.7;0.53;1.71;0.003;0.003;0.028;0.05;84.5;27.2;15.34;Cuarzo-sericita;Alta pirita
2302.5;439.2;1637.7;1.36;1.81;0.051;0.063;0.054;0.06;93.8;31.0;13.25;Potásico;Alta pirita
2305.4;647.5;1527.2;1.08;1.60;0.166;0.051;0.746;0.02;94.0;29.4;13.01;Cuarzo-sericita;Alta pirita
2306.2;546.9;1592.7;0.65;0.73;0.082;0.007;0.141;0.06;84.7;32.6;11.74;Cuarzo-sericita;Alta pirita
2313.0;524.4;1471.9;1.03;1.47;0.027;0.132;0.083;0.05;93.8;30.3;12.29;Potásico;Baja pirita
2319.5;486.8;1480.8;0.51;1.46;0.053;0.012;0.124;0.02;89.4;27.0;13.84;Potásico;Alta pirita
2321.6;722.1;1378.7;0.53;0.98;0.024;0.021;0.066;0.02;80.9;29.4;16.03;Cuarzo-sericita;Alta pirita
2324.1;494.6;1302.4;0.46;1.10;0.036;0.017;0.104;0.03;87.6;28.6;14.52;Cuarzo-sericita;Alta pirita
2325.5;777.2;1300.2;0.37;0.71;0.016;0.003;0.012;0.02;88.8;33.3;13.64;Potásico;Baja pirita
2326.0;449.0;1423.4;0.45;1.27;0.033;0.003;0.028;0.02;88.4;27.6;14.44;Cuarzo-sericita;Alta pirita
2329.2;822.0;1236.4;0.67;2.39;0.071;0.166;0.008;0.04;90.4;36.1;14.54;Potásico;Baja pirita
2331.8;681.6;1273.2;0.59;0.95;0.084;0.003;0.116;0.03;89.8;30.7;13.02;Cuarzo-sericita;Alta pirita
2333.3;406.4;1358.5;1.09;2.96;0.010;0.015;0.056;0.07;88.5;26.9;13.10;Potásico;Alta pirita
2333.4;393.3;1702.3;2.07;4.06;0.028;0.008;0.007;0.09;92.5;31.6;12.56;Potásico;Alta pirita
2333.6;391.5;1722.2;2.65;3.08;0.043;0.080;0.021;0.05;94.2;29.8;13.06;Potásico;Alta pirita
2333.8;389.7;1742.1;2.91;3.86;0.027;0.182;0.007;0.08;93.6;29.4;12.41;Cuarzo-sericita;Alta pirita
2333.8;874.7;1160.0;1.09;1.10;0.019;0.004;0.008;0.02;92.8;33.5;15.62;Potásico;Baja pirita
2341.9;809.5;1691.3;0.89;1.04;0.030;0.016;0.082;0.04;83.8;30.1;13.60;Potásico;Baja pirita
2342.1;355.8;1281.0;1.03;3.40;0.096;0.176;0.103;0.03;93.6;26.2;12.98;Cuarzo-sericita;Alta pirita
2343.7;346.0;1752.1;0.60;4.78;0.010;0.031;0.291;0.07;84.2;22.9;13.14;Cuarzo-sericita;Alta pirita
2343.8;699.3;1540.9;0.62;0.59;0.134;0.006;0.026;0.04;87.9;35.6;13.43;Cuarzo-sericita;Alta pirita
2344.7;651.1;1623.9;0.68;0.92;0.074;0.008;0.250;0.02;83.4;32.5;13.41;Cuarzo-sericita;Alta pirita
2347.4;326.5;1236.0;0.90;11.03;0.047;0.278;0.022;0.02;87.4;22.7;12.38;Cuarzo-sericita;Alta pirita
2347.8;864.1;1725.5;1.16;0.61;0.006;0.006;0.009;0.04;92.1;38.0;15.65;Potásico;Baja pirita
2347.9;928.1;1692.6;0.94;1.11;0.007;0.006;0.025;0.03;88.3;32.7;14.18;Potásico;Baja pirita
2350.4;421.7;1671.7;2.86;3.27;0.061;0.386;0.214;0.07;94.1;31.1;12.74;Potásico;Alta pirita
2350.7;593.3;1594.8;1.02;0.78;0.089;0.015;0.109;0.04;83.5;34.9;12.77;Cuarzo-sericita;Alta pirita
2353.1;607.5;1459.0;2.81;4.88;0.142;0.480;0.150;0.05;93.7;28.9;12.44;Cuarzo-sericita;Alta pirita
2356.8;367.5;1543.3;1.80;2.51;0.037;0.129;0.074;0.06;93.3;30.4;13.94;Potásico;Alta pirita
2358.7;271.5;1150.8;0.88;2.44;0.026;0.006;0.021;0.03;83.5;26.7;14.96;Cuarzo-sericita;Alta pirita
2364.6;482.4;1371.8;0.64;1.75;0.028;0.017;0.025;0.04;88.3;27.3;13.65;Cuarzo-sericita;Alta pirita
2364.7;320.4;1433.3;0.96;4.27;0.054;0.008;0.017;0.05;90.9;24.6;14.50;Cuarzo-sericita;Alta pirita
2374.4;462.2;1241.7;0.56;3.54;0.030;0.057;0.141;0.03;91.3;23.6;15.10;Cuarzo-sericita;Alta pirita
2374.9;271.2;1317.7;1.16;3.29;0.005;0.009;0.027;0.06;85.9;27.4;14.78;Cuarzo-sericita;Alta pirita
2376.1;449.9;1345.2;0.72;1.60;0.049;0.004;0.045;0.06;88.8;27.7;14.45;Cuarzo-sericita;Alta pirita
2376.2;653.8;1591.6;0.57;1.00;0.030;0.003;0.034;0.06;82.9;30.0;14.06;Cuarzo-sericita;Alta pirita
2380.4;247.1;1261.4;0.89;1.92;0.007;0.026;0.136;0.06;84.6;27.5;15.86;Cuarzo-sericita;Alta pirita
2381.8;446.4;1142.7;0.84;3.27;0.032;0.039;0.199;0.03;87.3;25.9;13.04;Cuarzo-sericita;Alta pirita
2391.1;762.2;1723.8;0.32;1.27;0.009;0.006;0.023;0.02;81.8;26.2;16.23;Potásico;Alta pirita
2391.9;424.6;1016.0;0.74;4.67;0.020;0.029;0.023;0.03;89.7;23.1;14.02;Cuarzo-sericita;Alta pirita
2394.8;651.6;1501.7;0.98;2.01;0.092;0.096;0.324;0.04;92.1;28.6;12.44;Potásico;Alta pirita
2396.1;271.6;1453.2;0.72;3.64;0.005;0.007;0.153;0.07;85.3;24.3;16.22;Cuarzo-sericita;Alta pirita
2396.3;671.3;1468.1;0.76;0.93;0.154;0.012;0.047;0.02;89.3;33.0;13.50;Cuarzo-sericita;Baja pirita
2396.4;927.4;1823.4;0.94;0.69;0.008;0.009;0.011;0.02;94.3;36.4;14.68;Potásico;Baja pirita
2398.0;690.3;1435.8;0.67;0.91;0.248;0.037;0.333;0.03;82.1;30.4;10.93;Cuarzo-sericita;Baja pirita
2398.1;424.5;1664.8;1.58;1.24;0.021;0.019;0.044;0.05;85.0;33.7;13.84;Potásico;Alta pirita
2399.6;354.2;1540.9;2.03;3.07;0.083;0.075;0.024;0.05;92.7;30.0;13.58;Potásico;Alta pirita
2400.0;715.3;1393.1;0.62;0.88;0.017;0.008;0.036;0.03;91.9;31.9;13.48;Potásico;Alta pirita
2401.9;901.6;1760.3;0.75;0.89;0.004;0.006;0.014;0.02;89.7;33.5;14.41;Potásico;Baja pirita
2402.2;858.9;1773.5;1.31;0.63;0.014;0.010;0.013;0.03;89.4;37.8;13.96;Potásico;Baja pirita
2402.4;750.2;1333.6;0.33;0.91;0.007;0.003;0.009;0.01;89.1;32.8;13.03;Potásico;Baja pirita
2404.9;464.4;1655.1;0.80;1.36;0.029;0.035;0.102;0.03;88.1;30.7;13.22;Cuarzo-sericita;Baja pirita
2405.7;793.2;1261.6;0.92;0.90;0.021;0.003;0.007;0.02;88.4;34.5;13.26;Potásico;Baja pirita
2406.8;431.5;1569.7;2.12;4.66;0.110;0.354;0.047;0.03;94.6;27.3;11.48;Cuarzo-sericita;Alta pirita
2408.3;829.1;1202.7;0.55;0.98;0.008;0.003;0.005;0.01;93.1;33.3;14.67;Potásico;Baja pirita
2411.1;990.7;1821.1;0.63;1.61;0.004;0.006;0.018;0.01;88.5;29.1;16.02;Potásico;Baja pirita
2413.9;417.5;1130.4;0.68;4.99;0.029;0.032;0.026;0.02;88.4;23.3;14.36;Cuarzo-sericita;Alta pirita
2416.3;365.0;1402.7;1.02;3.33;0.200;0.014;0.022;0.06;89.2;26.4;12.69;Potásico;Alta pirita
2419.9;413.2;1099.8;0.49;4.74;0.127;0.029;0.055;0.03;89.8;23.0;13.82;Potásico;Alta pirita
2425.0;316.9;1286.6;0.70;1.61;0.030;0.005;0.028;0.04;90.8;28.9;14.25;Cuarzo-sericita;Alta pirita
2426.7;408.3;1066.3;0.72;2.09;0.024;0.016;0.023;0.02;88.5;27.3;13.90;Cuarzo-sericita;Alta pirita
2427.1;957.3;1696.8;0.55;1.30;0.005;0.006;0.012;0.01;86.2;29.9;15.43;Potásico;Baja pirita
2430.1;288.3;1217.5;1.06;0.84;0.037;0.003;0.005;0.04;87.6;26.8;14.69;Cuarzo-sericita;Alta pirita
2430.6;940.7;1580.3;0.80;1.17;0.004;0.006;0.018;0.01;83.2;30.4;17.13;Cuarzo-sericita;Baja pirita
2431.2;910.5;1743.3;1.08;0.96;0.005;0.006;0.012;0.03;93.3;34.7;16.12;Potásico;Baja pirita
2435.5;841.3;1514.9;0.97;1.31;0.032;0.027;0.062;0.03;90.7;31.3;14.96;Cuarzo-sericita;Alta pirita
2438.5;804.9;1567.9;0.83;0.70;0.027;0.006;0.010;0.03;90.1;35.7;13.58;Potásico;Baja pirita
2441.0;759.6;1629.5;0.68;0.81;0.064;0.003;0.015;0.02;82.6;33.2;13.18;Potásico;Baja pirita
2441.8;397.9;995.2;0.66;2.53;0.013;0.060;0.096;0.05;88.1;25.5;14.69;Cuarzo-sericita;Alta pirita
2444.8;705.5;1708.7;0.91;1.28;0.073;0.006;0.047;0.03;91.2;31.2;12.83;Cuarzo-sericita;Alta pirita
2448.0;972.4;1800.0;0.75;1.56;0.004;0.006;0.006;0.01;93.4;30.7;16.13;Cuarzo-sericita;Baja pirita
2449.7;353.9;1766.7;0.57;3.56;0.009;0.039;0.023;0.07;84.0;24.1;14.80;Cuarzo-sericita;Alta pirita
2452.4;525.9;1623.8;0.93;0.91;0.130;0.018;0.035;0.04;87.4;35.1;11.83;Potásico;Baja pirita
2453.7;999.5;1814.6;0.52;1.53;0.002;0.003;0.024;0.04;84.0;27.4;15.10;Cuarzo-sericita;Baja pirita
2455.6;817.3;1671.0;1.08;1.21;0.022;0.012;0.028;0.08;85.8;32.4;14.05;Potásico;Baja pirita
2456.2;499.4;1678.3;1.53;1.39;0.066;0.109;0.156;0.05;85.3;34.2;12.10;Cuarzo-sericita;Alta pirita
2458.2;459.5;1680.7;1.80;1.54;0.027;0.128;0.054;0.06;92.2;33.4;13.26;Cuarzo-sericita;Alta pirita
2461.7;413.8;1591.3;1.20;1.76;0.028;0.008;0.183;0.05;84.3;30.1;13.24;Cuarzo-sericita;Alta pirita
2471.9;740.2;1661.2;0.93;0.79;0.088;0.005;0.025;0.03;89.8;34.1;13.53;Potásico;Baja pirita
2476.4;714.6;1715.3;1.59;5.07;0.089;0.140;0.128;0.06;93.2;26.2;12.48;Cuarzo-sericita;Alta pirita
2484.1;612.3;1662.0;0.62;0.54;0.052;0.004;0.026;0.08;80.9;35.0;13.67;Potásico;Baja pirita
2490.1;667.8;1631.1;0.72;1.80;0.033;0.090;0.690;0.02;93.3;27.1;13.63;Cuarzo-sericita;Alta pirita
2493.2;583.7;1611.5;0.76;0.78;0.022;0.006;0.088;0.03;89.3;33.7;13.74;Potásico;Baja pirita
2495.2;860.2;1702.1;0.54;0.83;0.004;0.006;0.029;0.01;88.5;30.9;14.86;Potásico;Baja pirita
2495.4;795.5;1652.5;1.18;2.21;0.088;0.042;0.073;0.08;88.5;29.0;12.59;Cuarzo-sericita;Alta pirita
2495.4;445.4;1622.2;1.02;2.61;0.083;0.013;0.069;0.03;94.1;26.8;14.58;Potásico;Alta pirita
2495.8;602.8;1511.4;0.79;1.33;0.050;0.062;0.222;0.03;89.0;30.1;12.52;Cuarzo-sericita;Alta pirita
2497.0;899.4;1709.9;1.08;1.17;0.007;0.004;0.023;0.04;90.8;33.1;14.63;Potásico;Baja pirita
2497.0;899.4;1646.9;0.46;0.88;0.004;0.009;0.019;0.03;86.5;31.9;15.75;Potásico;Baja pirita
2497.0;899.4;1789.4;0.95;0.94;0.006;0.006;0.093;0.04;88.6;33.9;13.77;Potásico;Baja pirita
2497.8;821.2;1760.8;1.39;1.18;0.074;0.006;0.012;0.03;94.0;34.3;13.91;Potásico;Baja pirita
2499.8;354.2;1766.9;0.73;3.10;0.008;0.019;0.456;0.10;80.6;25.5;13.01;Cuarzo-sericita;Alta pirita
2505.4;398.3;1654.1;1.15;1.45;0.046;0.040;0.146;0.04;89.7;30.9;12.67;Potásico;Alta pirita
2510.5;334.1;1585.0;1.15;4.15;0.016;0.109;0.138;0.07;88.9;25.7;13.94;Cuarzo-sericita;Alta pirita
2514.8;441.0;1527.0;1.49;1.92;0.102;0.054;0.064;0.05;88.5;30.5;14.00;Potásico;Alta pirita
2529.1;427.1;1490.0;2.30;9.76;0.039;0.085;0.074;0.06;94.8;24.9;13.01;Cuarzo-sericita;Alta pirita
2531.4;708.5;1730.5;0.87;0.80;0.071;0.064;0.189;0.04;89.1;34.1;13.88;Potásico;Alta pirita
2532.3;739.6;1644.4;0.65;0.77;0.050;0.014;0.051;0.03;78.6;35.0;13.68;Potásico;Baja pirita
2532.9;766.5;1574.4;0.88;1.07;0.037;0.014;0.024;0.04;86.9;33.1;13.16;Cuarzo-sericita;Alta pirita
2539.3;651.5;1695.1;1.52;2.99;0.083;0.200;0.344;0.08;90.0;28.4;11.80;Potásico;Alta pirita
2542.6;397.4;1559.3;1.18;3.15;0.073;0.115;0.016;0.07;87.8;27.3;14.33;Potásico;Alta pirita
2546.3;1072.0;1856.4;0.58;1.68;0.004;0.004;0.009;0.01;89.0;28.0;16.04;Potásico;Baja pirita
2546.5;638.6;1570.4;0.87;1.27;0.038;0.029;0.358;0.03;90.8;30.3;13.23;Potásico;Alta pirita
2547.5;767.8;1735.8;0.97;0.65;0.211;0.011;0.017;0.04;90.7;36.3;12.02;Potásico;Baja pirita
2548.1;934.8;1747.8;0.94;0.62;0.007;0.006;0.011;0.03;94.2;37.0;15.37;Potásico;Baja pirita
2548.1;961.6;1697.4;0.45;0.91;0.003;0.006;0.022;0.03;88.3;31.1;16.71;Potásico;Baja pirita
2548.4;819.1;1767.8;0.96;0.90;0.094;0.009;0.024;0.02;81.7;34.2;13.86;Potásico;Baja pirita
2548.5;372.4;1800.9;0.69;1.42;0.019;0.017;0.370;0.04;87.8;28.8;13.79;Cuarzo-sericita;Alta pirita
2549.8;470.6;1598.0;1.06;6.95;0.083;0.066;0.014;0.04;94.3;23.7;14.14;Potásico;Alta pirita
2549.8;406.9;1437.4;1.17;2.11;0.026;0.042;0.105;0.04;91.7;31.7;13.36;Potásico;Alta pirita
2550.1;827.4;1714.5;0.88;0.55;0.042;0.014;0.043;0.04;87.8;37.0;14.13;Potásico;Baja pirita
2555.6;852.0;1563.6;1.18;0.51;0.005;0.006;0.009;0.03;90.8;37.9;15.52;Potásico;Baja pirita
2566.4;390.8;1397.1;1.51;2.56;0.055;0.109;0.081;0.06;91.7;29.1;13.90;Cuarzo-sericita;Alta pirita
2580.1;524.1;1733.4;0.79;0.64;0.109;0.003;0.014;0.03;86.1;36.0;11.66;Cuarzo-sericita;Alta pirita
2580.2;524.5;1712.4;0.85;0.58;0.068;0.003;0.018;0.02;90.6;36.8;11.48;Cuarzo-sericita;Alta pirita
2580.2;525.0;1691.4;1.16;0.86;0.053;0.018;0.009;0.02;87.6;33.6;13.53;Potásico;Baja pirita
2580.6;837.1;1610.5;1.38;0.93;0.037;0.014;0.011;0.01;83.1;35.4;14.30;Potásico;Baja pirita
2581.0;837.2;1631.5;1.06;0.88;0.054;0.017;0.001;0.02;82.9;34.6;14.74;Potásico;Baja pirita
2581.3;837.4;1653.4;0.63;0.71;0.016;0.007;0.001;0.01;84.6;34.6;13.57;Potásico;Baja pirita
2581.9;837.6;1685.7;0.61;0.92;0.009;0.003;0.003;0.01;82.4;33.0;14.82;Potásico;Baja pirita
2582.4;837.8;1717.7;0.93;0.95;0.033;0.003;0.003;0.02;87.3;33.4;14.52;Potásico;Baja pirita
2582.7;838.0;1740.8;1.15;0.78;0.148;0.033;0.018;0.03;89.3;34.4;13.28;Potásico;Baja pirita
2586.9;869.7;1747.7;0.52;0.74;0.016;0.006;0.027;0.04;86.3;32.5;15.82;Potásico;Baja pirita
2587.4;894.8;1718.8;1.12;1.13;0.034;0.048;0.082;0.04;90.7;33.3;15.77;Cuarzo-sericita;Alta pirita
2592.7;367.0;1336.2;0.43;0.80;0.017;0.012;0.031;0.02;88.7;31.5;15.22;Potásico;Baja pirita
2593.3;972.3;1780.2;0.59;1.02;0.006;0.012;0.028;0.03;91.3;32.4;16.71;Potásico;Baja pirita
2597.0;877.3;1822.2;1.06;0.61;0.023;0.006;0.013;0.02;93.6;36.3;14.07;Potásico;Baja pirita
2598.0;386.4;1798.1;1.05;1.25;0.019;0.014;0.261;0.07;85.7;32.0;12.85;Cuarzo-sericita;Alta pirita
2599.9;378.9;1735.2;0.78;0.80;0.038;0.039;0.334;0.06;87.6;31.1;13.75;Cuarzo-sericita;Alta pirita
2601.5;557.9;1731.8;1.22;1.45;0.084;0.096;0.631;0.06;86.6;31.5;12.86;Cuarzo-sericita;Alta pirita
2606.6;530.3;1666.7;1.94;2.06;0.064;0.312;0.404;0.02;90.8;32.5;15.25;Cuarzo-sericita;Alta pirita
2606.8;497.7;1609.5;1.32;1.35;0.028;0.124;0.038;0.02;80.7;24.7;12.14;Cuarzo-sericita;Alta pirita
2606.9;537.5;1686.4;1.12;1.00;0.049;0.042;0.087;0.02;84.3;34.2;13.56;Cuarzo-sericita;Alta pirita
2607.3;544.7;1706.1;0.89;0.90;0.048;0.005;0.173;0.02;83.8;34.8;15.23;Potásico;Alta pirita
2607.8;553.0;1728.6;0.63;0.74;0.051;0.004;0.025;0.01;87.8;35.3;13.99;Cuarzo-sericita;Alta pirita
2610.0;665.3;1636.6;1.35;1.88;0.074;0.048;0.120;0.09;88.3;30.9;13.51;Potásico;Alta pirita
